化學式,能隙 (eV),密度 (g/cm³),穩定性 (E_hull),形成能 (eV/atom)
Li2FeO3,0.09139999999999901,3.628809133145505,0.0,-1.877959272777777
LiFeO2,1.712499999999999,4.365992908017233,0.0,-1.944936747708332
Li5FeO4,3.0845,2.730172537136709,0.0,-2.042025744666667
Li4Cr3FeO8,2.3536,4.122778985031266,0.0,-2.293218064583333
LiFe(SeO3)2,2.6596,3.519512384208408,0.0,-1.594728772802084
K2Li3FeO4,3.0917,2.782485866772996,0.0,-1.8775089627000001
LiLa2FeO6,0.754699999999999,6.482073378180237,0.0,-2.761924758833332
LiFe(CO3)2,2.1032,3.320021815317118,0.0,-1.914425032833333
LiFe(PO3)3,3.948699999999999,2.784880833092008,0.0,-2.553984804090135
Li2CrFeO4,2.0383,4.123141271117401,0.0,-2.177177298749999
